ID,KAST,IMPACT,RATING,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps   played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round
ZywOo,74.9%,1.45,1.32,22622,41.2%,16458,1.37,88.0,3.6,1020,26803,0.84,0.12,0.61,0.1,0.12
XigN,73.3%,1.23,1.15,14568,52.4%,12129,1.2,82.8,2.8,717,18574,0.78,0.13,0.65,0.09,0.1
BnTeT,74.5%,1.15,1.15,20591,39.8%,16796,1.23,83.0,5.1,1033,26924,0.76,0.14,0.62,0.1,0.12
blameF,74.0%,1.22,1.22,17952,39.2%,14234,1.26,85.6,7.1,879,23494,0.76,0.14,0.61,0.07,0.09
NiKo,71.1%,1.31,1.15,34634,50.4%,29087,1.19,86.0,4.4,1637,43526,0.8,0.13,0.67,0.08,0.1
DANK1NG,73.5%,1.24,1.2,8149,39.7%,6556,1.24,79.8,2.3,391,10366,0.79,0.1,0.63,0.09,0.1
device,71.2%,1.28,1.16,36293,35.0%,29085,1.25,80.3,4.3,1793,46666,0.78,0.13,0.62,0.07,0.08
torzsi,71.2%,1.22,1.18,9852,29.1%,7846,1.26,78.1,2.5,475,12699,0.78,0.09,0.62,0.08,0.11
SENSEi,73.5%,1.19,1.21,9069,31.3%,6762,1.34,76.1,2.7,459,12131,0.75,0.09,0.56,0.07,0.09
XANTARES,72.3%,1.34,1.17,37879,53.3%,31623,1.2,89.1,4.6,1772,46706,0.81,0.15,0.68,0.1,0.1
sterling,73.2%,1.19,1.2,17009,31.5%,13056,1.3,78.1,4.0,858,21953,0.77,0.1,0.59,0.08,0.11
smooya,71.5%,1.27,1.2,18466,27.8%,14617,1.26,79.3,2.5,888,23515,0.79,0.1,0.62,0.08,0.1
degster,72.6%,1.25,1.21,14351,34.7%,10988,1.31,79.3,2.9,686,18284,0.78,0.09,0.6,0.07,0.1
Kaze,73.7%,1.24,1.19,17675,30.3%,13384,1.32,80.1,2.9,864,22588,0.78,0.11,0.59,0.08,0.1
saffee,73.4%,1.24,1.22,8482,30.9%,6517,1.3,80.2,3.0,404,10701,0.79,0.1,0.61,0.08,0.1
deko,74.4%,1.21,1.23,8738,36.7%,6397,1.37,80.4,3.4,404,10913,0.8,0.1,0.59,0.09,0.11
OCEAN,64.3%,0.72,0.77,5530,44.3%,7492,0.74,59.7,3.6,410,10602,0.52,0.12,0.71,0.09,0.08
RuFire,63.3%,0.81,0.84,5579,47.9%,7506,0.74,66.5,4.7,384,10185,0.55,0.14,0.74,0.09,0.06
netrick,66.3%,0.85,0.82,6753,48.2%,8489,0.8,66.8,6.6,455,11976,0.56,0.14,0.71,0.11,0.09
HUNDEN,66.8%,0.8,0.81,22470,48.7%,28708,0.78,64.4,4.5,1578,41153,0.55,0.14,0.7,0.11,0.09
B1ad3,64.6%,0.84,0.83,13472,41.9%,16880,0.8,66.5,2.6,899,23232,0.58,0.16,0.73,0.1,0.07
PASHANOJ,64.6%,0.91,0.9,9177,53.5%,11434,0.8,68.2,4.0,601,15722,0.58,0.13,0.73,0.1,0.07
Slemmy,67.7%,0.78,0.85,6638,49.6%,7951,0.83,63.7,3.2,445,11663,0.57,0.12,0.68,0.11,0.09
gob b,68.3%,0.84,0.85,14445,48.5%,17256,0.84,66.6,6.0,975,25707,0.56,0.13,0.67,0.1,0.08
Twista,67.3%,0.82,0.85,5863,35.9%,7012,0.84,67.4,5.1,380,9970,0.59,0.16,0.7,0.09,0.09
Devilwalk,66.8%,0.91,0.86,6122,51.3%,7223,0.85,69.8,3.9,400,10494,0.58,0.16,0.69,0.12,0.08
djL,69.2%,0.8,0.91,10263,47.3%,11998,0.86,63.0,3.0,688,18180,0.56,0.12,0.66,0.1,0.08
def,69.0%,0.85,0.86,9243,41.8%,10836,0.85,67.4,3.4,605,15797,0.59,0.14,0.69,0.11,0.08
HooXi,66.7%,0.87,0.87,12343,49.7%,14549,0.85,68.0,5.9,798,21225,0.58,0.13,0.69,0.09,0.08
nawrot,66.5%,0.91,0.92,9764,47.1%,11501,0.85,66.1,4.0,603,16182,0.6,0.12,0.71,0.1,0.09
advent,71.4%,0.76,0.87,15800,49.9%,17998,0.88,62.1,4.4,1101,28312,0.56,0.13,0.64,0.11,0.1
birdfromsky,69.8%,0.98,0.99,13060,41.6%,15183,0.86,72.5,7.7,812,21860,0.6,0.17,0.69,0.14,0.09
BERRY,65.4%,0.98,0.87,12987,38.0%,15332,0.85,71.7,5.8,802,20987,0.62,0.15,0.73,0.1,0.08
flowsicK,67.4%,0.97,0.87,6257,47.4%,7304,0.86,73.6,3.7,395,10074,0.62,0.15,0.73,0.11,0.08
daps,69.6%,0.83,0.88,16274,40.2%,18638,0.87,66.8,4.4,1075,28101,0.58,0.14,0.66,0.1,0.07
seang@res,68.0%,0.87,0.88,10904,40.2%,12533,0.87,67.4,4.8,713,18391,0.59,0.14,0.68,0.11,0.08
torben,68.6%,0.84,0.93,8176,49.5%,9372,0.87,66.2,3.7,532,13939,0.59,0.12,0.67,0.1,0.09
LeX,66.4%,0.92,0.88,7418,44.7%,8680,0.85,71.1,4.0,462,11931,0.62,0.14,0.73,0.1,0.08
ScrunK,66.4%,0.94,0.88,14920,46.5%,17436,0.86,71.2,6.9,921,24460,0.61,0.14,0.71,0.1,0.08
Lambert,67.7%,0.84,0.88,11962,37.1%,13543,0.88,63.4,3.6,775,20411,0.59,0.11,0.66,0.09,0.08
Polen,68.0%,0.93,0.89,7017,53.3%,7995,0.88,69.8,4.3,435,11470,0.61,0.14,0.7,0.1,0.08
pronax,65.9%,0.86,0.89,18722,45.8%,20989,0.89,64.7,4.0,1199,31403,0.6,0.14,0.67,0.09,0.08
MAiNLiNE,67.0%,1.0,0.89,6904,51.7%,7968,0.87,69.1,2.4,437,11092,0.62,0.14,0.72,0.11,0.09
JiNKZ,69.9%,0.94,0.97,8657,53.5%,9850,0.88,69.7,3.8,542,14411,0.6,0.15,0.68,0.11,0.09
Adam9130,66.9%,1.03,0.97,7844,40.1%,9033,0.87,73.0,5.6,465,12528,0.63,0.15,0.72,0.1,0.08
Psycho,68.5%,0.88,0.96,8241,52.2%,9303,0.89,70.3,6.5,509,13561,0.61,0.14,0.69,0.1,0.09
spiker,65.6%,0.96,0.89,6837,42.7%,7811,0.88,71.5,2.6,415,10974,0.62,0.14,0.71,0.08,0.08
FNS,68.9%,0.85,0.89,15287,45.9%,17081,0.89,68.0,4.1,953,25080,0.61,0.14,0.68,0.1,0.08
lunAtic,68.2%,0.89,0.9,14808,38.8%,16557,0.89,67.9,5.4,895,24330,0.61,0.12,0.68,0.1,0.09
Golden,67.2%,0.92,0.94,14225,53.5%,16231,0.88,69.2,5.4,872,23212,0.61,0.14,0.7,0.1,0.09
hooch,66.1%,0.9,0.9,14410,41.8%,16212,0.89,70.9,4.4,894,23450,0.61,0.14,0.69,0.08,0.07
nkl,70.6%,0.87,0.9,9990,42.9%,11036,0.91,68.3,3.3,642,16554,0.6,0.15,0.67,0.1,0.07
sycrone,69.4%,0.86,0.9,8771,41.1%,9749,0.9,70.4,4.3,553,14608,0.6,0.15,0.67,0.1,0.09
ben1337,69.3%,0.91,0.97,14915,46.7%,16715,0.89,69.4,5.1,933,24344,0.61,0.14,0.69,0.11,0.09
balblna,68.6%,0.89,0.9,9791,49.8%,11024,0.89,70.4,5.1,611,16017,0.61,0.15,0.69,0.11,0.1
crush,67.1%,0.91,0.9,11789,52.5%,13256,0.89,69.8,4.9,729,19205,0.61,0.13,0.69,0.09,0.07
MiGHTYMAX,69.5%,0.87,0.9,18352,49.2%,20377,0.9,66.5,5.3,1174,31108,0.59,0.13,0.66,0.1,0.09
kRYSTAL,67.9%,0.88,0.9,29499,36.7%,32932,0.9,67.3,5.4,1864,48739,0.61,0.15,0.68,0.1,0.08
coolio,69.6%,0.8,0.94,5994,53.9%,6599,0.91,65.0,3.9,379,10205,0.59,0.11,0.65,0.1,0.1
BONA,67.4%,0.93,0.91,7931,52.1%,8874,0.89,69.9,4.5,476,12674,0.63,0.13,0.7,0.1,0.1
sAw,69.2%,0.87,0.9,20522,47.9%,22630,0.91,69.3,6.1,1267,33681,0.61,0.16,0.67,0.11,0.09
wayLander,65.3%,0.95,0.91,13258,51.8%,14973,0.89,70.8,3.2,794,20857,0.64,0.13,0.72,0.08,0.07
Shara,66.3%,0.98,0.91,6329,51.8%,7071,0.9,74.4,2.6,383,9929,0.64,0.14,0.71,0.08,0.07
roman,68.3%,0.89,0.91,6787,55.0%,7451,0.91,69.6,3.0,414,10880,0.62,0.14,0.68,0.11,0.1
LEGIJA,66.6%,0.93,0.91,14245,49.8%,15916,0.9,69.5,4.6,869,22614,0.63,0.14,0.7,0.09,0.08
xartE,69.0%,0.89,0.91,18341,37.1%,19976,0.92,69.8,6.3,1151,30254,0.61,0.15,0.66,0.09,0.09
Dav,68.8%,0.95,0.91,7539,40.7%,8361,0.9,71.2,4.7,468,12095,0.62,0.15,0.69,0.11,0.11
karrigan,66.9%,0.92,0.91,33080,43.0%,36685,0.9,68.8,5.0,2024,53070,0.62,0.13,0.69,0.09,0.07
svyat,69.3%,0.9,0.98,11975,51.9%,13035,0.92,69.7,4.7,734,19717,0.61,0.14,0.66,0.09,0.09
pietola,68.8%,0.89,0.91,6256,47.1%,6848,0.91,69.4,5.0,383,10178,0.61,0.13,0.67,0.09,0.1
BTN,67.9%,0.96,0.92,17984,53.8%,19997,0.9,73.2,5.3,1069,28053,0.64,0.15,0.71,0.11,0.09
ncl,69.1%,0.89,0.92,8397,49.2%,9077,0.93,68.7,3.8,528,13559,0.62,0.14,0.67,0.11,0.09
arya,66.2%,1.05,0.92,7277,34.9%,8145,0.89,72.6,3.5,440,11291,0.64,0.14,0.72,0.11,0.09
nak,69.8%,0.88,0.92,8158,44.5%,8829,0.92,70.8,4.5,514,13305,0.61,0.15,0.66,0.1,0.09
akez,68.2%,0.91,0.92,8403,55.0%,9335,0.9,71.1,3.4,492,13290,0.63,0.13,0.7,0.11,0.1
Zeus,68.5%,0.88,0.92,23470,43.5%,25460,0.92,69.9,5.5,1405,37152,0.63,0.17,0.69,0.11,0.08
Luz,68.5%,0.94,0.92,10767,48.2%,11739,0.92,72.5,3.2,651,17086,0.63,0.14,0.69,0.1,0.09
SANJI,68.8%,0.9,0.97,12151,62.2%,13149,0.92,68.8,3.9,743,19879,0.61,0.12,0.66,0.1,0.08
MSL,67.1%,1.05,0.92,28946,39.9%,32199,0.9,70.8,3.8,1718,44890,0.64,0.15,0.72,0.11,0.08
arki,69.1%,0.93,0.92,14525,52.5%,15799,0.92,70.5,5.6,889,23396,0.62,0.15,0.68,0.1,0.08
pNshr,69.8%,0.91,0.92,9802,43.2%,10611,0.92,71.1,3.1,595,15532,0.63,0.15,0.68,0.1,0.09
sorrow,66.6%,0.94,0.96,6548,55.3%,7207,0.91,70.7,3.6,382,10245,0.64,0.11,0.7,0.1,0.08
Xp3,67.3%,0.97,0.92,8326,39.7%,9118,0.91,70.5,3.4,502,13113,0.63,0.13,0.7,0.09,0.08
hitMouse,68.9%,0.91,0.92,8785,49.0%,9410,0.93,71.2,4.5,538,14028,0.63,0.13,0.67,0.09,0.09
TACO,69.5%,0.9,0.92,22360,50.1%,23790,0.94,67.3,4.4,1418,36877,0.61,0.12,0.65,0.09,0.07
S0tF1k,68.6%,0.96,0.92,21364,49.2%,23267,0.92,71.5,5.4,1289,33952,0.63,0.14,0.69,0.1,0.09
aVN,69.2%,0.91,0.92,9391,52.9%,10093,0.93,69.3,2.6,556,14787,0.64,0.12,0.68,0.11,0.11
quix,66.1%,1.02,0.93,16575,47.2%,18370,0.9,74.8,5.5,936,24805,0.67,0.14,0.74,0.09,0.08
SkulL,67.2%,1.08,1.01,10297,42.5%,11362,0.91,75.9,5.5,598,15642,0.66,0.15,0.73,0.11,0.1
kiR,66.7%,0.99,0.98,10194,61.5%,11154,0.91,71.4,4.4,584,15772,0.65,0.11,0.71,0.1,0.1
mynio,67.3%,1.04,0.93,13340,44.5%,14565,0.92,77.1,6.9,768,20598,0.65,0.16,0.71,0.09,0.08
ztr,66.9%,0.96,0.97,6980,50.7%,7560,0.92,71.5,4.7,406,10879,0.64,0.12,0.69,0.1,0.1
matty,68.7%,1.01,0.93,9201,40.6%,9897,0.93,76.2,6.0,536,14203,0.65,0.17,0.7,0.1,0.11
crisby,67.7%,0.98,0.93,20610,54.4%,22423,0.92,71.5,3.4,1209,31542,0.65,0.13,0.71,0.11,0.1
hutji,67.6%,0.96,0.93,7719,48.4%,8383,0.92,72.0,4.0,453,12010,0.64,0.14,0.7,0.1,0.1
Duplicate,70.1%,0.95,1.0,13680,51.4%,14720,0.93,72.4,6.5,811,21661,0.63,0.14,0.68,0.11,0.1
emi,71.0%,0.98,0.93,17861,52.3%,19098,0.94,72.3,5.6,1073,27920,0.64,0.15,0.68,0.12,0.1
tutehen,69.8%,0.91,0.93,7365,46.1%,7787,0.95,70.9,4.4,450,11640,0.63,0.14,0.67,0.11,0.11
DANZ,65.8%,0.94,0.93,6730,42.6%,7350,0.92,72.0,2.3,391,10173,0.66,0.13,0.72,0.09,0.1
Polly,66.0%,0.88,0.93,7613,41.2%,8203,0.93,63.5,3.0,457,11874,0.64,0.12,0.69,0.09,0.07
Sidney,69.7%,0.92,0.99,8031,50.1%,8499,0.94,70.8,7.0,481,13023,0.62,0.14,0.65,0.1,0.09
repo,67.5%,0.93,0.94,8647,46.6%,9304,0.93,69.4,3.8,505,13254,0.65,0.13,0.7,0.1,0.09
forget,67.0%,1.06,0.94,7723,50.3%,8457,0.91,75.3,4.3,442,11512,0.67,0.14,0.73,0.1,0.08
ngiN,69.7%,0.88,0.94,16499,45.3%,17247,0.96,68.4,4.1,1025,26895,0.61,0.13,0.64,0.09,0.09
neaLaN,67.8%,1.0,1.0,18636,55.9%,19926,0.94,74.0,4.8,1073,28658,0.65,0.14,0.7,0.09,0.09
Noisia,69.1%,0.93,0.99,9682,43.7%,10298,0.94,72.5,4.8,579,15033,0.64,0.14,0.69,0.09,0.08
BRACE,68.1%,0.98,0.99,6691,48.0%,7160,0.93,70.7,5.6,402,10439,0.64,0.13,0.69,0.1,0.09
ub1que,68.7%,0.94,0.94,8319,41.8%,8815,0.94,73.3,3.1,491,12691,0.66,0.13,0.69,0.09,0.09
Ex6TenZ,69.3%,1.01,0.94,22665,41.5%,23729,0.96,74.8,4.0,1393,36352,0.62,0.15,0.65,0.09,0.08
interz,73.3%,0.8,0.99,13256,50.0%,13437,0.99,63.0,5.1,867,23039,0.58,0.12,0.58,0.1,0.1
LOMME,70.6%,0.92,0.94,10221,42.5%,10753,0.95,72.0,4.5,623,16172,0.63,0.15,0.66,0.1,0.09
RIZZZ,70.3%,0.94,1.0,7027,52.0%,7579,0.93,70.9,3.8,422,11051,0.64,0.13,0.69,0.12,0.11
EXUS,67.1%,1.01,0.94,15251,42.7%,16330,0.93,71.2,3.6,882,23538,0.65,0.13,0.69,0.09,0.09
Shakezullah,71.0%,0.9,1.0,13296,42.5%,13755,0.97,68.9,5.1,831,21668,0.61,0.13,0.63,0.1,0.08
arch,68.9%,0.92,0.94,10295,49.0%,10953,0.94,72.7,2.2,593,15530,0.66,0.13,0.71,0.1,0.1
Twixie,69.7%,0.96,1.0,13046,48.1%,13847,0.94,71.5,5.2,760,20630,0.63,0.13,0.67,0.1,0.09
tonyblack,68.4%,0.91,0.94,13828,48.6%,14553,0.95,69.6,3.8,826,21699,0.64,0.13,0.67,0.08,0.08
SileNt,66.9%,1.0,0.94,10751,36.1%,11539,0.93,70.9,2.6,624,16235,0.66,0.12,0.71,0.1,0.09
TOAO,68.2%,0.96,0.99,18722,48.0%,19783,0.95,69.7,4.7,1106,29520,0.63,0.12,0.67,0.09,0.08
boX,69.1%,1.1,1.04,21726,43.6%,23045,0.94,75.2,5.9,1261,33615,0.65,0.16,0.69,0.1,0.08
kzy,69.0%,0.95,0.94,16400,47.6%,17245,0.95,72.6,4.8,986,25705,0.64,0.14,0.67,0.09,0.09
Fifflaren,72.0%,1.13,0.94,7894,37.5%,7934,0.99,91.7,6.2,538,13220,0.6,0.15,0.6,0.04,0.16
Rock1nG,68.9%,1.01,1.01,15317,55.3%,16361,0.94,74.1,5.0,887,23379,0.66,0.14,0.7,0.1,0.09
vSa,71.3%,0.83,0.94,6351,42.5%,6673,0.95,70.6,2.8,385,10066,0.63,0.15,0.66,0.12,0.11
uNdo,68.5%,0.89,0.94,7217,54.3%,7588,0.95,70.3,2.8,431,11262,0.64,0.12,0.67,0.08,0.09
rafftu,70.2%,0.96,1.0,8650,51.9%,9125,0.95,71.0,3.3,497,13334,0.65,0.13,0.68,0.12,0.11
Inzta,68.3%,0.96,0.94,12779,43.9%,13628,0.94,72.5,2.6,754,19798,0.65,0.14,0.69,0.1,0.09
Karsa,70.1%,0.88,0.95,7360,48.7%,7650,0.96,70.5,3.7,457,11674,0.63,0.14,0.66,0.1,0.09
ecfN,68.9%,1.01,0.95,7387,53.8%,7858,0.94,75.1,3.1,426,11214,0.66,0.14,0.7,0.12,0.11
arvid,68.7%,1.01,0.95,15700,44.7%,16720,0.94,73.2,4.4,897,24098,0.65,0.14,0.69,0.1,0.1
RAiLWAY,66.6%,1.06,1.0,8190,54.3%,8864,0.92,76.5,4.8,449,12048,0.68,0.13,0.74,0.09,0.08
strux1,65.2%,0.82,0.95,6648,36.3%,6894,0.96,76.0,1.8,403,10276,0.65,0.14,0.67,0.09,0.09
oxygeN,69.8%,0.96,1.0,8913,59.1%,9364,0.95,68.2,4.2,528,14197,0.63,0.11,0.66,0.1,0.08
flashie,69.9%,0.91,0.95,10179,41.9%,10697,0.95,72.3,3.8,594,15719,0.65,0.14,0.68,0.1,0.09
AcilioN,70.0%,0.98,0.95,30080,43.9%,31597,0.95,72.4,4.4,1762,46491,0.65,0.15,0.68,0.11,0.09
JT,70.6%,1.0,1.02,17574,48.4%,18531,0.95,72.0,4.7,1061,27532,0.64,0.14,0.67,0.12,0.11
H4RR3,70.1%,1.06,1.03,11699,50.3%,12478,0.94,74.9,4.7,661,17791,0.66,0.14,0.7,0.12,0.1
Grus,68.0%,1.05,1.0,9973,63.7%,10752,0.93,73.0,5.3,554,15106,0.66,0.12,0.71,0.1,0.09
darko,68.9%,1.03,1.02,14316,44.9%,15126,0.95,75.0,6.6,804,21820,0.66,0.14,0.69,0.1,0.09
KrizzeN,70.8%,0.93,1.01,12720,54.9%,13088,0.97,71.4,3.9,763,20020,0.64,0.14,0.65,0.1,0.09
soju_j,69.7%,0.96,1.01,9148,41.2%,9558,0.96,72.1,4.2,554,14231,0.64,0.14,0.67,0.11,0.1
CONNOR93,69.0%,1.02,0.95,7738,51.7%,8195,0.94,72.8,2.7,449,11544,0.67,0.12,0.71,0.11,0.1
devoduvek,69.6%,1.0,0.95,11155,49.6%,11756,0.95,75.6,3.5,644,17079,0.65,0.15,0.69,0.1,0.09
dERZKIY,68.3%,0.93,0.95,7182,53.9%,7573,0.95,72.0,2.3,416,10850,0.66,0.13,0.7,0.1,0.11
Console,70.1%,0.98,0.95,11948,39.5%,12530,0.95,74.0,3.2,708,18612,0.64,0.15,0.67,0.11,0.09
steel,69.9%,0.96,0.95,24479,40.8%,25364,0.97,71.7,3.7,1452,37974,0.64,0.13,0.67,0.1,0.09
caike,70.3%,1.0,0.95,8518,42.6%,8892,0.96,71.7,4.0,501,13104,0.65,0.14,0.68,0.1,0.09
TaZ,68.7%,0.88,0.95,36946,51.4%,38468,0.96,67.7,2.3,2163,56767,0.65,0.13,0.68,0.11,0.09
dumz,69.9%,1.02,0.95,7889,48.4%,8209,0.96,71.2,3.1,455,12074,0.65,0.12,0.68,0.1,0.09
friberg,68.3%,0.92,0.95,33114,47.3%,34810,0.95,70.4,5.1,1957,50987,0.65,0.16,0.68,0.11,0.09
dezon,71.0%,0.92,1.01,9192,52.4%,9440,0.97,69.9,4.8,547,14700,0.63,0.13,0.64,0.1,0.1
alexRr,65.7%,1.09,0.95,7438,39.8%,7992,0.93,72.6,3.8,433,11346,0.66,0.12,0.7,0.09,0.07
beastik,69.6%,0.99,1.01,12522,54.8%,13149,0.95,70.9,4.6,727,19523,0.64,0.13,0.67,0.11,0.07
RZU,67.8%,1.04,1.01,8255,53.9%,8776,0.94,73.9,3.8,466,12168,0.68,0.12,0.72,0.11,0.1
misutaaa,70.5%,0.95,1.0,7663,54.2%,8064,0.95,68.1,2.9,458,12112,0.63,0.11,0.67,0.12,0.11
denis,68.2%,1.08,0.95,32721,44.3%,34569,0.95,75.0,3.6,1830,48692,0.67,0.14,0.71,0.11,0.09
NEO,66.7%,0.92,0.95,34383,37.8%,35933,0.96,72.1,5.9,2030,52985,0.65,0.16,0.68,0.09,0.08
nbl,69.4%,0.98,0.95,10255,51.6%,10792,0.95,72.1,3.6,600,15501,0.66,0.13,0.7,0.11,0.1
ponczek,70.7%,0.9,1.0,8674,44.5%,8925,0.97,70.8,4.0,504,13584,0.64,0.13,0.66,0.09,0.08
maNkz,70.8%,0.99,1.02,11970,52.4%,12487,0.96,72.3,4.9,692,18642,0.64,0.13,0.67,0.12,0.11
tahsiN,67.7%,0.99,0.96,10261,44.7%,10891,0.94,72.6,4.9,591,15363,0.67,0.14,0.71,0.09,0.08
Snappi,69.4%,0.96,0.96,27353,45.5%,28322,0.97,72.7,4.5,1591,41992,0.65,0.13,0.67,0.09,0.08
kinqie,68.7%,1.03,0.96,11130,57.1%,11727,0.95,74.7,4.6,631,16775,0.66,0.13,0.7,0.11,0.09
YJ,70.2%,0.89,1.0,8424,41.6%,8495,0.99,71.0,4.1,514,13425,0.63,0.13,0.63,0.07,0.08
smF,70.4%,0.9,0.96,13708,56.2%,14090,0.97,69.6,4.6,821,21503,0.64,0.13,0.66,0.11,0.11
PR1mE,66.9%,1.0,0.99,7553,54.8%,7927,0.95,71.8,4.2,422,11427,0.66,0.11,0.69,0.09,0.1
tiziaN,69.8%,0.96,0.96,29892,56.1%,30831,0.97,71.1,4.6,1770,46856,0.64,0.13,0.66,0.09,0.09
LOGAN,70.2%,0.95,1.01,10091,55.2%,10391,0.97,70.6,2.6,590,15692,0.64,0.12,0.66,0.1,0.1
JazzPimp,68.9%,1.0,1.01,7819,54.3%,8168,0.96,74.9,3.5,438,11485,0.68,0.13,0.71,0.1,0.11
MAJ3R,69.3%,0.99,0.96,17858,48.8%,18382,0.97,73.9,4.9,1050,27515,0.65,0.14,0.67,0.08,0.08
Kristou,66.5%,1.06,0.99,6701,43.7%,7027,0.95,68.0,3.4,390,10304,0.65,0.09,0.68,0.09,0.08
Kvik,67.7%,1.0,0.96,13682,42.7%,14349,0.95,75.1,3.8,780,20389,0.67,0.14,0.7,0.1,0.1
glow,71.4%,0.9,1.01,6438,51.9%,6537,0.98,69.5,3.2,395,10045,0.64,0.12,0.65,0.11,0.11
0i,69.1%,0.98,1.0,8590,55.8%,8984,0.96,73.5,3.3,486,12725,0.68,0.13,0.71,0.1,0.1
expro,68.8%,1.03,1.03,7641,44.8%,7923,0.96,75.2,4.3,429,11378,0.67,0.13,0.7,0.1,0.09
Aleksib,71.2%,1.02,0.96,17605,39.1%,17978,0.98,74.4,8.5,1037,27513,0.64,0.17,0.65,0.11,0.1
Uber,68.4%,0.98,0.96,6674,50.2%,6973,0.96,73.6,3.9,398,10027,0.67,0.14,0.7,0.12,0.11
Walco,67.6%,1.08,1.02,8767,57.4%,9229,0.95,73.8,7.6,499,13238,0.66,0.13,0.7,0.1,0.09
xms,69.6%,0.99,0.96,12206,59.0%,12830,0.95,71.0,2.9,712,18783,0.65,0.12,0.68,0.11,0.1
ProbLeM,70.2%,0.97,1.02,9970,49.0%,10277,0.97,73.8,4.7,562,15230,0.65,0.13,0.67,0.1,0.1
HOLMES,69.3%,1.02,0.96,8068,44.6%,8433,0.96,77.9,4.5,459,12013,0.67,0.15,0.7,0.1,0.1
SEMINTE,67.9%,0.96,0.96,11705,49.3%,12182,0.96,71.8,3.0,679,17833,0.66,0.12,0.68,0.09,0.09
w1nt3r,69.3%,0.88,1.0,9468,49.5%,9635,0.98,72.1,3.9,552,14753,0.64,0.12,0.65,0.09,0.1
bodito,68.6%,1.03,0.96,8082,46.6%,8487,0.95,74.3,3.6,446,11985,0.67,0.14,0.71,0.11,0.1
stanislaw,70.3%,0.97,0.96,22198,47.5%,22689,0.98,72.8,6.0,1333,34466,0.64,0.14,0.66,0.1,0.09
Tommy,70.2%,1.07,1.04,6700,46.0%,7023,0.95,76.2,2.9,387,9900,0.68,0.15,0.71,0.12,0.1
Kairi,70.2%,1.02,0.96,6763,37.7%,6967,0.97,74.1,6.0,404,10297,0.66,0.15,0.68,0.1,0.09
maeVe,69.0%,0.96,0.96,8154,40.5%,8285,0.98,72.3,3.5,487,12606,0.65,0.14,0.66,0.08,0.07
SADDYX,69.7%,0.99,1.03,11404,47.6%,11767,0.97,74.6,6.0,647,17350,0.66,0.14,0.68,0.1,0.1
nosraC,68.6%,1.07,1.03,8777,49.6%,9152,0.96,75.5,6.1,498,13157,0.67,0.14,0.7,0.09,0.08
nafany,68.9%,1.09,1.04,15599,51.1%,16297,0.96,74.4,4.9,885,23491,0.66,0.14,0.69,0.1,0.08
kaper,71.6%,0.94,1.02,9154,44.2%,9322,0.98,72.1,3.8,536,14240,0.64,0.14,0.65,0.1,0.1
SmithZz,66.3%,0.91,0.96,19726,41.4%,20269,0.97,66.1,2.3,1161,30130,0.65,0.14,0.67,0.1,0.08
Maniac,68.6%,0.97,0.96,14478,39.4%,14866,0.97,74.4,2.1,837,22049,0.66,0.14,0.67,0.08,0.08
LUCAS1,70.3%,1.03,0.96,16073,47.0%,16554,0.97,76.6,3.9,943,24480,0.66,0.16,0.68,0.1,0.09
TMB,68.8%,1.09,1.05,13000,47.2%,13494,0.96,77.6,7.5,738,19595,0.66,0.16,0.69,0.1,0.09
Surreal,69.7%,1.01,0.96,26062,43.6%,26818,0.97,72.2,3.3,1518,39795,0.65,0.13,0.67,0.1,0.09
Hyper,68.8%,0.89,0.96,11144,41.8%,11311,0.99,69.9,2.8,646,16949,0.66,0.12,0.67,0.08,0.08
The eLiVe,69.3%,0.96,1.01,9196,52.2%,9403,0.98,71.8,4.8,526,14230,0.65,0.12,0.66,0.1,0.09
Drea3er,68.3%,1.02,1.01,7210,53.8%,7560,0.95,73.8,2.7,415,10684,0.67,0.13,0.71,0.09,0.1
chopper,69.9%,1.0,0.97,19066,57.4%,19479,0.98,72.1,4.4,1103,29250,0.65,0.13,0.67,0.1,0.09
reltuC,70.2%,0.92,0.97,14788,40.5%,14862,1.0,73.3,3.7,865,22664,0.65,0.15,0.66,0.09,0.1
starix,68.1%,0.95,0.97,10761,47.6%,11002,0.98,73.5,3.8,625,16451,0.65,0.14,0.67,0.09,0.09
phr,70.1%,0.95,1.02,22976,53.3%,23369,0.98,73.2,5.8,1312,35125,0.65,0.13,0.67,0.09,0.09
Leaf,69.9%,0.97,1.02,6618,44.2%,6689,0.99,72.1,3.5,398,10120,0.65,0.13,0.66,0.09,0.08
Marek,70.0%,0.97,0.97,7307,51.6%,7489,0.98,72.9,3.7,425,11185,0.65,0.13,0.67,0.09,0.1
KHRN,70.4%,0.93,0.97,15822,48.0%,16067,0.98,71.0,4.7,935,24443,0.65,0.14,0.66,0.1,0.1
Mayker,69.1%,0.95,1.01,7380,49.1%,7600,0.97,72.9,4.6,433,11216,0.66,0.13,0.68,0.1,0.1
gabesson,69.4%,1.0,0.97,7943,42.1%,8207,0.97,76.0,4.6,441,11654,0.68,0.16,0.7,0.11,0.11
MAIROLLS,70.5%,0.97,1.02,8516,49.1%,8729,0.98,73.2,3.5,495,12791,0.67,0.13,0.68,0.1,0.1
