ID,KAST,IMPACT,RATING,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps   played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round
JUST,71.8%,1.04,1.03,16258,55.3%,15385,1.06,75.6,5.4,889,23444,0.69,0.13,0.66,0.09,0.11
rAge,70.3%,1.03,1.07,6850,31.8%,6166,1.11,71.2,4.5,382,10184,0.67,0.1,0.61,0.07,0.09
dobu,71.1%,1.14,1.03,14824,54.5%,14162,1.05,80.1,3.5,791,20728,0.72,0.15,0.68,0.1,0.1
REZ,70.7%,1.11,1.03,25076,49.6%,23752,1.06,78.3,3.9,1355,35650,0.7,0.14,0.67,0.1,0.1
tarik,70.8%,1.11,1.03,26620,37.8%,25304,1.05,76.8,2.9,1438,37326,0.71,0.14,0.68,0.11,0.1
dEE,69.9%,1.07,1.07,8385,33.1%,7808,1.07,72.6,2.9,449,11891,0.71,0.1,0.66,0.09,0.1
tb,71.9%,1.05,1.03,11088,49.9%,10380,1.07,76.7,3.5,619,15737,0.7,0.15,0.66,0.11,0.11
Davidp,69.9%,1.07,1.03,14255,39.7%,13246,1.08,77.9,7.6,774,20539,0.69,0.14,0.64,0.07,0.08
Lucaozy,70.8%,1.06,1.08,7598,50.7%,7082,1.07,75.6,3.1,399,10815,0.7,0.11,0.65,0.1,0.1
eraa,68.6%,1.08,1.06,11002,33.4%,10333,1.06,73.4,3.4,575,15566,0.71,0.1,0.66,0.08,0.09
twist,69.8%,1.09,1.04,32388,41.3%,30652,1.06,76.8,5.0,1727,45734,0.71,0.14,0.67,0.09,0.09
phzy,70.6%,1.02,1.07,8450,29.2%,7744,1.09,72.0,2.6,461,12400,0.68,0.1,0.62,0.09,0.08
fleav,68.9%,1.12,1.08,10884,40.0%,10448,1.04,79.9,2.8,567,14903,0.73,0.13,0.7,0.09,0.1
buster,72.0%,1.03,1.09,22503,47.9%,20537,1.1,73.5,3.5,1252,33082,0.68,0.12,0.62,0.08,0.09
KHTEX,71.6%,1.04,1.08,11041,45.5%,10188,1.08,75.1,4.3,614,15841,0.7,0.13,0.64,0.09,0.1
LOVEYY,70.7%,1.11,1.04,12939,52.0%,12240,1.06,78.0,3.5,708,17977,0.72,0.15,0.68,0.11,0.11
ANDROID,71.2%,1.02,1.04,15394,50.7%,14358,1.07,75.7,3.0,835,21741,0.71,0.13,0.66,0.1,0.12
Bubzkji,70.0%,1.11,1.04,15534,50.8%,14571,1.07,80.4,5.4,817,21619,0.72,0.14,0.67,0.09,0.1
